Código;Descrição Resumida
100005048;CARRO P/ DETRITOS INOX 80L
100005046;CARRINHO CARGA ARMAZEM
100005045;CARRINHO CARGA PLATAFORMA 800KG
100004960;CARRO PLATAFORMA INOX 300KG
100004957;CARRO PORTA TALHER BANDEJA 1450X770X800MM
100004956;"CARRO PRANCHA 800KG 14"""
100004574;CARRINHO P/ MOVIMENTAÇAO CARGA SUPERFÍCIE PLANA C/ ESTRUTUTA DOBRAVEL
100004573;CARRINHO P/ MOVIMENTAÇAO CARGA ESCADAS 3 RODAS
100004185;CARRO INOX 2 (DOIS) PLANOS 900 X 600 X 900
100004168;CARRO PLATAFORMA AÇO INOXIDAVEL 250 KG - 60 X 90 CM
100003346;CARRO P/ TRANSPORTE PALLETS
100003345;CARRO P/ TRANSPORTE MATERIAIS
100002686;TRANSPORTADOR PALETES MANUAL HIDRAULICO 2500KG
100002681;CARRO PLATAFORMA BASE MADEIRA ESTRUTURA AÇO 1500 X 800 X 440MM
100002531;CARRO DE MÃO
100002111;CAIXA P/ ISOLAMENTO AUSTICO PENEIRADOR
100001854;CARRO COMPRAS AÇO ESTRUTURA TUBULAR 70L
100001750;TRANSPORTADOR PALETES MANUAL HIDRAULICO 1500KG
100001401;CARRO COMPRAS COMPRAS AÇO ESTRUTURA TUBULAR 180L
100001400;CARRO CARGA ESTRUTURA TUBULAR REFORÇADO 350KG
100000659;"CARRO CAÇAMBA METALICA RODA ARO 8"" 80L"
100000285;CARRINHO TIPO CONDOMINIO 100L
100000284;CARRO P/ ARMAZENAMENTO
100005467;PLATAFORMA P/ CADEIRANTE ELEVADOR
100004569;ELEVADOR P/ TRANSPORTE PESSOAS
100006579;EMENDA PARLAMENTAR TIPO GARRAFAO MINIMO 10L
100006415;REFRIGERADOR RESIDENCIAL DUPLEX INOX 400 A 450L 220V
100006414;REFRIGERADOR RESIDENCIAL DUPLEX INOX 400 A 450L 127V
100006211;REFRIGERADOR RESIDENCIAL 01 PORTA 240 A 300L 127V CYCLE DEFROST
100006130;CAMARA REFRIGERAÇAO VERTICAL 420L
100006103;MANIFOLD LATAO FORJADO ALTA RESISTENCIA
100006040;EMENDA PARLAMENTAR BEBEDOURO COLUNA P/ GALAO 20L
100006039;EMENDA PARLAMENTAR FREEZER HORIZONTAL 400 A 450L
100006038;EMENDA PARLAMENTAR GELADEIRA FRIGOBAR 120L
100006037;EMENDA PARLAMENTAR GELADEIRA 300 A 350L
100006036;EMENDA PARLAMENTAR GELADEIRA COMERCIAL
100005827;FREEZER VERTICAL
100005804;FREEZER HORIZONTAL 460 A 480L 127V
100005779;PURIFICADOR AGUA TRIPLA FILTRAGEM BRANCO OU PRATA TROCA FILTRO TWIST AND PULL - USO CMB/SPMJ
100005777;REFRIGERADOR REFRIGERADOR FROST-FREE DUPLEX BRANCA 350 L - USO CMB/SPMJ
100005734;BEBEDOURO INDUSTRIAL AÇO INOX C/ 2 TORNEIRAS 50L 127V
100005705;SECADOR AR ADSORÇAO
100005474;APARELHO CORTINA AR P/ PORTA 150CM 220V
100005473;APARELHO CORTINA AR P/ PORTA 100CM 220V
100005381;REFRIGERADOR RESIDENCIAL DUPLEX 460 A 500L 127V
100005361;BEBEDOURO ELETRICO COMERCIAL MINIMO C/ 2 TORNEIRAS LAVATORIO 50L
100005350;FREEZER VERTICAL 190 A 240L BRANCO 01 PORTA DEGELO MANUAL OU CYCLE DEFROST
100005255;EMENDA PARLAMENTAR FREEZER HORIZONTAL 519L
100005121;BEBEDOURO COLUNA REFRIGERADO 220V
100005071;BEBEDOURO PURIFICADOR REFRIGERADO - USO DIRETORIA ATENÇAO A SAUDE
100004937;REFRIGERADOR VERTICAL BEBIDAS/ FRIOS /LATICINIOS 220V
100004876;REFRIGERADOR FRIGOBAR 120 A 124L 220V
100004875;PURIFICADOR AGUA GELADA/NATURAL POLIPROPILENO BRANCO 220V
100004850;DESUMIDIFICADOR AR P/ AMBIENTE
100004772;CAMARA FRIGORIFICA
100004657;BEBEDOURO TIPO INDUSTRIAL 100L C/ 3 TORNEIRAS 220V
100004565;FREEZER HORIZONTAL 01 PORTA 190 A 200L 127V
100004418;BEBEDOURO INDUSTRIAL 200L C/ 4 TORNEIRAS 220V
100004417;BEBEDOURO INDUSTRIAL 200L C/ 4 TORNEIRAS 127V
100004260;FREEZER HORIZONTAL 03 TAMPAS 420L 127V
100004246;FREEZER VERTICAL 246 A 280L DEGELO AUTOMATICO OU DEFROST 127V
100004149;APARELHO CORTINA AR CORTINA AR
100003797;DESUMIDIFICADOR AR P/ AMBIENTE 120 L/DIA
100003645;REFRIGERADOR RESIDENCIAL 01 PORTA 310 A 350L 220V
100003644;REFRIGERADOR RESIDENCIAL DUPLEX PORTA REVERSIVEL 380 A 420L 220V
100003509;REFRIGERADOR RESIDENCIAL 01 PORTA 260L BRANCO 110V
100003331;APARELHO CORTINA AR P/ PORTA
100003098;CENTRAL AGUA GELADA
100003024;APARELHO CORTINA AR P/ PORTA 120 220V
100002865;DESUMIDIFICADOR AR P/ AMBIENTE 15 L/DIA
100002463;PURIFICADOR AGUA ELETRICO
100002412;REFRIGERADOR RESIDENCIAL 01 PORTA 240L BRANCO 110V
100001768;BEBEDOURO ELETRICO PRESSAO TORRE / COLUNA C/ CONJUGADO 04L 127V
100001703;REFRIGERADOR RESIDENCIAL DUPLEX 380 A 420L 127V
100001702;REFRIGERADOR RESIDENCIAL 01 PORTA 230 A 310L BRANCO 127V
